city,year,weekofyear,total_cases
sj,2008,18,2
sj,2008,19,5
sj,2008,20,6
sj,2008,21,14
sj,2008,22,7
sj,2008,23,15
sj,2008,24,8
sj,2008,25,16
sj,2008,26,20
sj,2008,27,20
sj,2008,28,17
sj,2008,29,22
sj,2008,30,29
sj,2008,31,31
sj,2008,32,41
sj,2008,33,16
sj,2008,34,28
sj,2008,35,29
sj,2008,36,32
sj,2008,37,35
sj,2008,38,39
sj,2008,39,50
sj,2008,40,59
sj,2008,41,68
sj,2008,42,80
sj,2008,43,87
sj,2008,44,86
sj,2008,45,78
sj,2008,46,67
sj,2008,47,57
sj,2008,48,49
sj,2008,49,43
sj,2008,50,41
sj,2008,51,36
sj,2008,52,29
sj,2009,1,23
sj,2009,2,19
sj,2009,3,17
sj,2009,4,18
sj,2009,5,17
sj,2009,6,20
sj,2009,7,16
sj,2009,8,14
sj,2009,9,15
sj,2009,10,11
sj,2009,11,12
sj,2009,12,7
sj,2009,13,6
sj,2009,14,5
sj,2009,15,3
sj,2009,16,7
sj,2009,17,4
sj,2009,18,5
sj,2009,19,2
sj,2009,20,5
sj,2009,21,5
sj,2009,22,18
sj,2009,23,7
sj,2009,24,14
sj,2009,25,17
sj,2009,26,15
sj,2009,27,20
sj,2009,28,36
sj,2009,29,32
sj,2009,30,31
sj,2009,31,39
sj,2009,32,51
sj,2009,33,63
sj,2009,34,16
sj,2009,35,28
sj,2009,36,29
sj,2009,37,32
sj,2009,38,35
sj,2009,39,39
sj,2009,40,50
sj,2009,41,59
sj,2009,42,68
sj,2009,43,80
sj,2009,44,87
sj,2009,45,86
sj,2009,46,78
sj,2009,47,67
sj,2009,48,57
sj,2009,49,49
sj,2009,50,43
sj,2009,51,41
sj,2009,52,36
sj,2010,53,29
sj,2010,1,23
sj,2010,2,19
sj,2010,3,17
sj,2010,4,18
sj,2010,5,17
sj,2010,6,20
sj,2010,7,16
sj,2010,8,14
sj,2010,9,15
sj,2010,10,11
sj,2010,11,12
sj,2010,12,7
sj,2010,13,6
sj,2010,14,5
sj,2010,15,3
sj,2010,16,7
sj,2010,17,4
sj,2010,18,14
sj,2010,19,7
sj,2010,20,19
sj,2010,21,17
sj,2010,22,28
sj,2010,23,38
sj,2010,24,42
sj,2010,25,17
sj,2010,26,19
sj,2010,27,41
sj,2010,28,42
sj,2010,29,24
sj,2010,30,21
sj,2010,31,40
sj,2010,32,67
sj,2010,33,69
sj,2010,34,16
sj,2010,35,28
sj,2010,36,29
sj,2010,37,32
sj,2010,38,35
sj,2010,39,39
sj,2010,40,50
sj,2010,41,59
sj,2010,42,68
sj,2010,43,80
sj,2010,44,87
sj,2010,45,86
sj,2010,46,78
sj,2010,47,67
sj,2010,48,57
sj,2010,49,49
sj,2010,50,43
sj,2010,51,41
sj,2011,52,36
sj,2011,1,29
sj,2011,2,23
sj,2011,3,19
sj,2011,4,17
sj,2011,5,18
sj,2011,6,17
sj,2011,7,20
sj,2011,8,16
sj,2011,9,14
sj,2011,10,15
sj,2011,11,11
sj,2011,12,12
sj,2011,13,7
sj,2011,14,6
sj,2011,15,5
sj,2011,16,3
sj,2011,17,7
sj,2011,18,4
sj,2011,19,6
sj,2011,20,4
sj,2011,21,12
sj,2011,22,20
sj,2011,23,12
sj,2011,24,11
sj,2011,25,25
sj,2011,26,18
sj,2011,27,23
sj,2011,28,15
sj,2011,29,14
sj,2011,30,32
sj,2011,31,26
sj,2011,32,23
sj,2011,33,45
sj,2011,34,45
sj,2011,35,16
sj,2011,36,28
sj,2011,37,29
sj,2011,38,32
sj,2011,39,35
sj,2011,40,39
sj,2011,41,50
sj,2011,42,59
sj,2011,43,68
sj,2011,44,80
sj,2011,45,87
sj,2011,46,86
sj,2011,47,78
sj,2011,48,67
sj,2011,49,57
sj,2011,50,49
sj,2011,51,43
sj,2012,52,41
sj,2012,1,36
sj,2012,2,29
sj,2012,3,23
sj,2012,4,19
sj,2012,5,17
sj,2012,6,18
sj,2012,7,17
sj,2012,8,20
sj,2012,9,16
sj,2012,10,14
sj,2012,11,15
sj,2012,12,11
sj,2012,13,12
sj,2012,14,7
sj,2012,15,6
sj,2012,16,5
sj,2012,17,3
sj,2012,18,7
sj,2012,19,4
sj,2012,20,17
sj,2012,21,14
sj,2012,22,12
sj,2012,23,16
sj,2012,24,19
sj,2012,25,46
sj,2012,26,33
sj,2012,27,18
sj,2012,28,15
sj,2012,29,29
sj,2012,30,28
sj,2012,31,30
sj,2012,32,36
sj,2012,33,56
sj,2012,34,69
sj,2012,35,36
sj,2012,36,16
sj,2012,37,28
sj,2012,38,29
sj,2012,39,32
sj,2012,40,35
sj,2012,41,39
sj,2012,42,50
sj,2012,43,59
sj,2012,44,68
sj,2012,45,80
sj,2012,46,87
sj,2012,47,86
sj,2012,48,78
sj,2012,49,67
sj,2012,50,57
sj,2012,51,49
sj,2013,1,43
sj,2013,2,41
sj,2013,3,36
sj,2013,4,29
sj,2013,5,23
sj,2013,6,19
sj,2013,7,17
sj,2013,8,18
sj,2013,9,17
sj,2013,10,20
sj,2013,11,16
sj,2013,12,14
sj,2013,13,15
sj,2013,14,11
sj,2013,15,12
sj,2013,16,7
sj,2013,17,6
iq,2010,26,5
iq,2010,27,3
iq,2010,28,7
iq,2010,29,4
iq,2010,30,4
iq,2010,31,5
iq,2010,32,5
iq,2010,33,5
iq,2010,34,7
iq,2010,35,8
iq,2010,36,6
iq,2010,37,6
iq,2010,38,10
iq,2010,39,6
iq,2010,40,22
iq,2010,41,10
iq,2010,42,23
iq,2010,43,11
iq,2010,44,16
iq,2010,45,22
iq,2010,46,16
iq,2010,47,28
iq,2010,48,29
iq,2010,49,32
iq,2010,50,35
iq,2010,51,39
iq,2011,52,50
iq,2011,1,59
iq,2011,2,68
iq,2011,3,80
iq,2011,4,87
iq,2011,5,86
iq,2011,6,78
iq,2011,7,67
iq,2011,8,57
iq,2011,9,49
iq,2011,10,43
iq,2011,11,41
iq,2011,12,36
iq,2011,13,29
iq,2011,14,23
iq,2011,15,19
iq,2011,16,17
iq,2011,17,18
iq,2011,18,17
iq,2011,19,20
iq,2011,20,16
iq,2011,21,14
iq,2011,22,15
iq,2011,23,11
iq,2011,24,12
iq,2011,25,7
iq,2011,26,6
iq,2011,27,5
iq,2011,28,3
iq,2011,29,7
iq,2011,30,4
iq,2011,31,4
iq,2011,32,7
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,8
iq,2011,38,9
iq,2011,39,16
iq,2011,40,9
iq,2011,41,7
iq,2011,42,14
iq,2011,43,20
iq,2011,44,11
iq,2011,45,15
iq,2011,46,19
iq,2011,47,16
iq,2011,48,28
iq,2011,49,29
iq,2011,50,32
iq,2011,51,35
iq,2012,52,39
iq,2012,1,50
iq,2012,2,59
iq,2012,3,68
iq,2012,4,80
