city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,7
sj,2008,20,8
sj,2008,21,14
sj,2008,22,8
sj,2008,23,11
sj,2008,24,8
sj,2008,25,13
sj,2008,26,9
sj,2008,27,12
sj,2008,28,10
sj,2008,29,16
sj,2008,30,12
sj,2008,31,15
sj,2008,32,18
sj,2008,33,20
sj,2008,34,20
sj,2008,35,19
sj,2008,36,24
sj,2008,37,21
sj,2008,38,19
sj,2008,39,22
sj,2008,40,24
sj,2008,41,17
sj,2008,42,27
sj,2008,43,21
sj,2008,44,19
sj,2008,45,25
sj,2008,46,17
sj,2008,47,23
sj,2008,48,18
sj,2008,49,23
sj,2008,50,17
sj,2008,51,18
sj,2008,52,17
sj,2009,1,14
sj,2009,2,14
sj,2009,3,13
sj,2009,4,12
sj,2009,5,12
sj,2009,6,11
sj,2009,7,11
sj,2009,8,11
sj,2009,9,9
sj,2009,10,7
sj,2009,11,7
sj,2009,12,7
sj,2009,13,7
sj,2009,14,6
sj,2009,15,6
sj,2009,16,7
sj,2009,17,7
sj,2009,18,6
sj,2009,19,6
sj,2009,20,7
sj,2009,21,7
sj,2009,22,9
sj,2009,23,8
sj,2009,24,9
sj,2009,25,13
sj,2009,26,11
sj,2009,27,16
sj,2009,28,12
sj,2009,29,16
sj,2009,30,15
sj,2009,31,15
sj,2009,32,17
sj,2009,33,15
sj,2009,34,24
sj,2009,35,21
sj,2009,36,19
sj,2009,37,19
sj,2009,38,19
sj,2009,39,17
sj,2009,40,25
sj,2009,41,26
sj,2009,42,24
sj,2009,43,17
sj,2009,44,26
sj,2009,45,24
sj,2009,46,25
sj,2009,47,21
sj,2009,48,24
sj,2009,49,17
sj,2009,50,16
sj,2009,51,17
sj,2009,52,22
sj,2010,53,34
sj,2010,1,14
sj,2010,2,13
sj,2010,3,16
sj,2010,4,12
sj,2010,5,11
sj,2010,6,12
sj,2010,7,14
sj,2010,8,12
sj,2010,9,13
sj,2010,10,8
sj,2010,11,7
sj,2010,12,10
sj,2010,13,9
sj,2010,14,6
sj,2010,15,6
sj,2010,16,6
sj,2010,17,8
sj,2010,18,8
sj,2010,19,8
sj,2010,20,15
sj,2010,21,9
sj,2010,22,25
sj,2010,23,21
sj,2010,24,19
sj,2010,25,15
sj,2010,26,16
sj,2010,27,21
sj,2010,28,22
sj,2010,29,18
sj,2010,30,19
sj,2010,31,25
sj,2010,32,31
sj,2010,33,38
sj,2010,34,37
sj,2010,35,58
sj,2010,36,47
sj,2010,37,41
sj,2010,38,39
sj,2010,39,37
sj,2010,40,41
sj,2010,41,47
sj,2010,42,34
sj,2010,43,23
sj,2010,44,27
sj,2010,45,33
sj,2010,46,23
sj,2010,47,21
sj,2010,48,21
sj,2010,49,31
sj,2010,50,21
sj,2010,51,21
sj,2011,52,20
sj,2011,1,14
sj,2011,2,12
sj,2011,3,12
sj,2011,4,14
sj,2011,5,11
sj,2011,6,11
sj,2011,7,11
sj,2011,8,10
sj,2011,9,11
sj,2011,10,7
sj,2011,11,7
sj,2011,12,6
sj,2011,13,6
sj,2011,14,6
sj,2011,15,6
sj,2011,16,5
sj,2011,17,5
sj,2011,18,6
sj,2011,19,6
sj,2011,20,6
sj,2011,21,6
sj,2011,22,11
sj,2011,23,7
sj,2011,24,16
sj,2011,25,17
sj,2011,26,17
sj,2011,27,15
sj,2011,28,15
sj,2011,29,11
sj,2011,30,24
sj,2011,31,18
sj,2011,32,24
sj,2011,33,23
sj,2011,34,41
sj,2011,35,26
sj,2011,36,33
sj,2011,37,37
sj,2011,38,24
sj,2011,39,26
sj,2011,40,29
sj,2011,41,26
sj,2011,42,26
sj,2011,43,26
sj,2011,44,30
sj,2011,45,26
sj,2011,46,21
sj,2011,47,21
sj,2011,48,22
sj,2011,49,22
sj,2011,50,24
sj,2011,51,18
sj,2012,52,21
sj,2012,1,15
sj,2012,2,12
sj,2012,3,13
sj,2012,4,12
sj,2012,5,12
sj,2012,6,10
sj,2012,7,11
sj,2012,8,10
sj,2012,9,9
sj,2012,10,6
sj,2012,11,5
sj,2012,12,6
sj,2012,13,6
sj,2012,14,5
sj,2012,15,5
sj,2012,16,5
sj,2012,17,6
sj,2012,18,7
sj,2012,19,6
sj,2012,20,8
sj,2012,21,8
sj,2012,22,8
sj,2012,23,13
sj,2012,24,15
sj,2012,25,17
sj,2012,26,16
sj,2012,27,15
sj,2012,28,10
sj,2012,29,22
sj,2012,30,24
sj,2012,31,19
sj,2012,32,30
sj,2012,33,24
sj,2012,34,36
sj,2012,35,21
sj,2012,36,32
sj,2012,37,34
sj,2012,38,34
sj,2012,39,46
sj,2012,40,35
sj,2012,41,34
sj,2012,42,34
sj,2012,43,38
sj,2012,44,38
sj,2012,45,41
sj,2012,46,37
sj,2012,47,36
sj,2012,48,24
sj,2012,49,22
sj,2012,50,18
sj,2012,51,18
sj,2013,1,13
sj,2013,2,13
sj,2013,3,12
sj,2013,4,12
sj,2013,5,11
sj,2013,6,10
sj,2013,7,9
sj,2013,8,10
sj,2013,9,9
sj,2013,10,8
sj,2013,11,6
sj,2013,12,7
sj,2013,13,7
sj,2013,14,6
sj,2013,15,8
sj,2013,16,7
sj,2013,17,5
iq,2010,26,7
iq,2010,27,5
iq,2010,28,5
iq,2010,29,7
iq,2010,30,7
iq,2010,31,6
iq,2010,32,5
iq,2010,33,9
iq,2010,34,28
iq,2010,35,15
iq,2010,36,9
iq,2010,37,11
iq,2010,38,11
iq,2010,39,9
iq,2010,40,39
iq,2010,41,33
iq,2010,42,33
iq,2010,43,24
iq,2010,44,20
iq,2010,45,32
iq,2010,46,28
iq,2010,47,29
iq,2010,48,34
iq,2010,49,20
iq,2010,50,22
iq,2010,51,27
iq,2011,52,20
iq,2011,1,15
iq,2011,2,14
iq,2011,3,14
iq,2011,4,15
iq,2011,5,15
iq,2011,6,17
iq,2011,7,14
iq,2011,8,16
iq,2011,9,14
iq,2011,10,9
iq,2011,11,7
iq,2011,12,6
iq,2011,13,6
iq,2011,14,9
iq,2011,15,5
iq,2011,16,5
iq,2011,17,6
iq,2011,18,11
iq,2011,19,4
iq,2011,20,6
iq,2011,21,5
iq,2011,22,6
iq,2011,23,7
iq,2011,24,5
iq,2011,25,6
iq,2011,26,6
iq,2011,27,6
iq,2011,28,4
iq,2011,29,5
iq,2011,30,6
iq,2011,31,3
iq,2011,32,6
iq,2011,33,7
iq,2011,34,8
iq,2011,35,7
iq,2011,36,8
iq,2011,37,10
iq,2011,38,9
iq,2011,39,17
iq,2011,40,14
iq,2011,41,19
iq,2011,42,29
iq,2011,43,20
iq,2011,44,21
iq,2011,45,26
iq,2011,46,25
iq,2011,47,20
iq,2011,48,22
iq,2011,49,28
iq,2011,50,25
iq,2011,51,21
iq,2012,52,19
iq,2012,1,16
iq,2012,2,16
iq,2012,3,18
iq,2012,4,15
iq,2012,5,17
iq,2012,6,14
iq,2012,7,19
iq,2012,8,17
iq,2012,9,17
iq,2012,10,9
iq,2012,11,7
iq,2012,12,6
iq,2012,13,8
iq,2012,14,6
iq,2012,15,7
iq,2012,16,8
iq,2012,17,3
iq,2012,18,5
iq,2012,19,5
iq,2012,20,3
iq,2012,21,5
iq,2012,22,5
iq,2012,23,6
iq,2012,24,6
iq,2012,25,4
iq,2012,26,7
iq,2012,27,5
iq,2012,28,7
iq,2012,29,7
iq,2012,30,3
iq,2012,31,6
iq,2012,32,6
iq,2012,33,8
iq,2012,34,4
iq,2012,35,8
iq,2012,36,8
iq,2012,37,7
iq,2012,38,5
iq,2012,39,11
iq,2012,40,17
iq,2012,41,21
iq,2012,42,25
iq,2012,43,22
iq,2012,44,21
iq,2012,45,18
iq,2012,46,23
iq,2012,47,28
iq,2012,48,13
iq,2012,49,22
iq,2012,50,25
iq,2012,51,22
iq,2013,1,14
iq,2013,2,16
iq,2013,3,15
iq,2013,4,19
iq,2013,5,16
iq,2013,6,18
iq,2013,7,18
iq,2013,8,14
iq,2013,9,13
iq,2013,10,10
iq,2013,11,12
iq,2013,12,14
iq,2013,13,12
iq,2013,14,7
iq,2013,15,6
iq,2013,16,10
iq,2013,17,5
iq,2013,18,5
iq,2013,19,6
iq,2013,20,4
iq,2013,21,5
iq,2013,22,5
iq,2013,23,4
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
